Unnamed,ClosingPrice,24hOpen,24hHigh,24hLow
0,124,125,125,123
1,126,124,126,124
2,109,126,126,84
3,119,109,119,108
4,122,119,122,119
5,121,122,122,121
6,122,121,122,121
7,124,122,124,122
8,125,124,125,123
9,126,125,129,124
10,126,126,127,125
11,126,126,127,124
12,127,126,127,126
13,136,127,136,127
14,134,136,136,131
15,143,134,144,133
16,138,143,146,137
17,143,138,145,138
18,153,143,153,143
19,161,153,168,153
20,165,161,165,160
21,178,165,178,164
22,189,178,189,178
23,201,189,203,186
24,181,201,202,159
25,176,181,185,163
26,178,176,181,175
27,188,178,189,175
28,193,188,193,186
29,198,193,199,192
30,197,198,199,193
31,199,197,199,196
32,199,199,200,196
33,201,199,202,199
34,211,201,212,201
35,226,211,228,210
36,249,226,249,222
37,263,249,263,243
38,295,263,295,261
39,332,295,344,294
40,286,332,356,278
41,305,286,324,261
42,339,305,340,304
43,358,339,359,337
44,403,358,410,351
45,410,403,416,384
46,421,410,428,387
47,438,421,438,416
48,511,438,513,437
49,694,511,782,492
50,532,694,717,395
51,575,532,581,429
52,682,575,706,571
53,775,682,776,652
54,747,775,824,692
55,769,747,788,708
56,790,769,794,740
57,894,790,905,788
58,935,894,966,871
59,1069,935,1085,913
60,1155,1069,1158,1029
61,1100,1155,1157,1100
62,1020,1100,1100,784
63,1029,1020,1050,930
64,1072,1029,1093,1022
65,1140,1072,1152,1067
66,1005,1140,1145,871
67,760,1005,1039,657
68,690,760,827,559
69,842,690,846,683
70,917,842,949,810
71,968,917,1005,901
72,867,968,976,833
73,912,867,920,844
74,890,912,934,860
75,849,890,898,849
76,869,849,887,820
77,654,869,877,637
78,655,654,758,648
79,554,655,655,423
80,694,554,711,546
81,650,694,734,599
82,596,650,652,581
83,648,596,672,595
84,672,648,686,633
85,660,672,676,646
86,703,660,721,652
87,759,703,781,699
88,735,759,773,724
89,718,735,754,706
90,753,718,760,714
91,745,753,764,744
92,769,745,773,734
93,770,769,775,751
94,805,770,827,769
95,814,805,840,799
96,872,814,874,809
97,971,872,973,862
98,963,971,1024,915
99,856,963,971,789
100,861,856,887,823
101,848,861,881,815
102,893,848,903,838
103,917,893,941,877
104,874,917,921,858
105,864,874,874,822
106,854,864,872,840
107,875,854,889,854
108,843,875,880,842
109,835,843,855,811
110,839,835,851,835
111,882,839,886,835
112,874,882,883,858
113,875,874,877,862
114,865,875,875,855
115,839,865,867,835
116,835,839,839,811
117,859,835,877,834
118,888,859,900,852
119,831,888,888,801
120,833,831,861,799
121,833,833,847,833
122,842,833,856,817
123,848,842,853,840
124,855,848,870,844
125,857,855,883,851
126,848,857,857,843
127,845,848,853,840
128,803,845,847,794
129,749,803,816,739
130,693,749,759,659
131,669,693,722,658
132,701,669,712,663
133,695,701,703,536
134,666,695,711,636
135,646,666,672,634
136,579,646,654,533
137,642,579,697,554
138,657,642,658,627
139,612,657,658,577
140,635,612,654,604
141,619,635,642,608
142,620,619,626,613
143,546,620,621,526
144,562,546,582,539
145,623,562,623,555
146,573,623,638,568
147,502,573,584,493
148,551,502,563,419
149,574,551,600,549
150,568,574,584,559
151,552,568,571,536
152,561,552,571,549
153,568,561,569,551
154,667,568,682,563
155,661,667,699,654
156,663,661,667,644
157,652,663,664,645
158,613,652,654,612
159,612,613,627,601
160,638,612,645,611
161,627,638,643,611
162,634,627,646,616
163,632,634,640,628
164,637,632,642,632
165,629,637,637,625
166,633,629,637,626
167,631,633,636,628
168,618,631,631,617
169,617,618,622,600
170,602,617,622,602
171,582,602,605,580
172,571,582,606,564
173,563,571,572,551
174,558,563,571,552
175,574,558,588,553
176,573,574,586,571
177,571,573,590,562
178,510,571,572,472
179,500,510,526,488
180,487,500,505,484
181,473,487,487,444
182,465,473,473,443
183,481,465,501,460
184,428,481,495,420
185,433,428,457,415
186,454,433,456,429
187,463,454,466,445
188,457,463,467,451
189,453,457,459,444
190,451,453,457,447
191,427,451,454,424
192,375,427,428,345
193,439,375,439,375
194,424,439,439,414
195,410,424,426,395
196,456,410,471,407
197,518,456,525,455
198,523,518,544,494
199,491,523,530,482
200,470,491,498,469
201,508,470,512,468
202,506,508,511,490
203,498,506,508,489
204,488,498,499,483
205,488,488,490,481
206,470,488,501,469
207,449,470,473,441
208,453,449,464,449
209,427,453,458,424
210,433,427,446,422
211,445,433,450,432
212,455,445,456,433
213,454,455,460,448
214,442,454,454,440
215,439,442,444,429
216,433,439,439,429
217,419,433,435,419
218,429,419,432,419
219,443,429,447,424
220,440,443,446,435
221,450,440,452,439
222,450,450,454,447
223,435,450,451,431
224,438,435,441,432
225,439,438,440,434
226,446,439,446,439
227,444,446,448,442
228,446,444,448,443
229,446,446,447,444
230,445,446,447,443
231,456,445,459,443
232,490,456,495,451
233,491,490,495,488
234,523,491,536,488
235,513,523,544,512
236,534,513,536,512
237,580,534,590,534
238,582,580,590,576
239,573,582,592,550
240,563,573,577,561
241,572,563,574,557
242,613,572,623,567
243,639,613,639,611
244,635,639,677,621
245,661,635,668,611
246,628,661,676,618
247,643,628,651,625
248,653,643,665,640
249,649,653,658,636
250,653,649,657,647
251,653,653,656,650
252,645,653,654,638
253,643,645,658,641
254,633,643,647,625
255,586,633,634,563
256,589,586,614,585
257,571,589,591,542
258,590,571,594,552
259,593,590,607,586
260,611,593,614,591
261,602,611,613,600
262,595,602,606,591
263,583,595,596,582
264,600,583,604,582
265,593,600,603,592
266,585,593,594,581
267,576,585,589,571
268,572,576,577,559
269,583,572,585,566
270,598,583,601,577
271,599,598,605,592
272,598,599,601,589
273,648,598,648,598
274,638,648,655,628
275,643,638,654,636
276,644,643,647,636
277,629,644,645,626
278,632,629,636,625
279,632,632,633,628
280,622,632,634,613
281,621,622,622,617
282,622,621,625,617
283,617,622,622,610
284,635,617,637,614
285,628,635,636,626
286,622,628,635,622
287,619,622,624,616
288,620,619,623,618
289,615,620,621,613
290,624,615,628,612
291,624,624,629,617
292,624,624,627,622
293,618,624,624,618
294,623,618,623,617
295,619,623,623,618
296,618,619,620,617
297,603,618,619,592
298,598,603,606,594
299,593,598,599,591
300,581,593,596,580
301,586,581,623,512
302,581,586,587,578
303,565,581,582,560
304,584,565,588,565
305,594,584,602,583
306,582,594,595,581
307,586,582,589,579
308,583,586,593,582
309,583,583,587,580
310,584,583,587,579
311,596,584,599,582
312,586,596,597,586
313,587,586,589,585
314,589,587,594,586
315,567,589,589,565
316,566,567,574,563
317,535,566,566,525
318,512,535,535,496
319,488,512,516,484
320,517,488,523,485
321,490,517,517,483
322,456,490,492,436
323,473,456,489,456
324,520,473,533,465
325,509,520,527,507
326,508,509,523,501
327,502,508,510,491
328,504,502,514,497
329,505,504,507,498
330,514,505,515,504
331,515,514,522,510
332,507,515,516,506
333,505,507,513,503
334,503,505,506,500
335,475,503,503,475
336,478,475,486,472
337,477,478,484,471
338,476,477,480,474
339,486,476,495,476
340,481,486,490,479
341,482,481,485,480
342,474,482,486,472
343,469,474,479,465
344,475,469,479,465
345,480,475,488,475
346,474,480,481,472
347,472,474,477,468
348,476,472,480,471
349,476,476,478,474
350,472,476,477,469
351,465,472,473,462
352,450,465,466,447
353,426,450,452,406
354,411,426,427,381
355,406,411,423,402
356,400,406,406,391
357,400,400,406,395
358,428,400,444,392
359,417,428,432,413
360,411,417,419,407
361,404,411,412,397
362,399,404,406,395
363,378,399,399,371
364,377,378,386,370
365,388,377,394,374
366,382,388,391,378
367,373,382,383,370
368,361,373,375,354
369,336,361,363,322
370,309,336,338,287
371,338,309,344,305
372,327,338,339,317
373,352,327,356,326
374,369,352,383,348
375,360,369,375,352
376,357,360,364,351
377,372,357,378,353
378,393,372,395,367
379,397,393,410,391
380,393,397,398,387
381,377,393,394,370
382,379,377,383,372
383,391,379,393,377
384,382,391,392,382
385,381,382,384,378
386,383,381,389,378
387,377,383,384,377
388,352,377,377,352
389,354,352,361,352
390,346,354,356,340
391,351,346,358,346
392,350,351,356,347
393,349,350,355,347
394,336,349,352,333
395,344,336,351,333
396,339,344,347,336
397,326,339,339,320
398,332,326,334,320
399,325,332,333,324
400,333,325,336,321
401,337,333,342,329
402,347,337,352,337
403,345,347,352,340
404,344,345,346,341
405,359,344,364,343
406,369,359,375,358
407,377,369,381,361
408,443,377,443,377
409,390,443,459,386
410,395,390,413,382
411,378,395,398,369
412,401,378,405,377
413,385,401,411,376
414,376,385,390,370
415,377,376,386,372
416,349,377,378,348
417,353,349,356,342
418,357,353,364,352
419,368,357,372,354
420,382,368,389,365
421,376,382,394,370
422,373,376,378,366
423,369,373,374,368
424,376,369,382,359
425,377,376,386,373
426,377,377,382,375
427,378,377,383,377
428,383,378,384,378
429,377,383,384,374
430,369,377,379,366
431,374,369,379,368
432,374,374,376,371
433,374,374,376,374
434,358,374,374,357
435,349,358,359,345
436,342,349,352,338
437,349,342,362,341
438,347,349,354,346
439,348,347,349,346
440,349,348,354,347
441,339,349,350,338
442,331,339,340,324
443,318,331,332,315
444,307,318,318,305
445,320,307,321,307
446,322,320,331,320
447,321,322,325,318
448,329,321,333,319
449,333,329,336,329
450,322,333,333,318
451,319,322,322,317
452,321,319,331,319
453,317,321,322,313
454,316,317,320,311
455,314,316,318,312
456,310,314,315,309
457,318,310,320,310
458,315,318,318,313
459,312,315,316,311
460,278,312,313,276
461,271,278,287,258
462,273,271,278,266
463,284,273,287,272
464,291,284,301,284
465,282,291,292,281
466,287,282,292,281
467,278,287,288,273
468,269,278,278,264
469,244,269,272,244
470,220,244,250,217
471,194,220,220,171
472,221,194,230,193
473,210,221,223,200
474,196,210,210,195
475,213,196,219,195
476,212,213,217,207
477,213,212,215,205
478,231,213,237,211
479,227,231,237,225
480,232,227,236,225
481,252,232,255,232
482,284,252,291,244
483,259,284,308,255
484,258,259,269,251
485,236,258,263,226
486,234,236,238,221
487,227,234,243,226
488,217,227,234,216
489,230,217,232,212
490,238,230,243,223
491,226,238,247,225
492,227,226,231,221
493,220,227,228,215
494,226,220,227,217
495,226,226,231,223
496,223,226,230,220
497,221,223,224,218
498,224,221,224,216
499,219,224,224,219
500,224,219,225,218
501,238,224,241,224
502,257,238,262,238
503,231,257,268,227
504,236,231,240,230
505,243,236,247,235
506,238,243,244,232
507,242,238,244,236
508,246,242,248,242
509,246,246,247,244
510,236,246,246,234
511,239,236,240,232
512,239,239,240,236
513,236,239,239,234
514,252,236,252,235
515,252,252,258,247
516,252,252,255,251
517,259,252,261,245
518,271,259,273,258
519,279,271,287,268
520,270,279,284,267
521,275,270,281,264
522,271,275,276,270
523,277,271,278,271
524,278,277,279,272
525,295,278,297,277
526,290,295,301,289
527,293,290,297,289
528,294,293,297,292
529,283,294,294,282
530,284,283,287,281
531,291,284,292,283
532,291,291,294,289
533,284,291,292,283
534,253,284,285,247
